Itemno,Description,Master,Inner,Quantity,Unit price,Amount,ETD
10200,"Matt black hooks 20x25mm for acoustic panels, 2 pieces, SLIM end hook.",0,10,"2.500,00","4,28","10.700,00",30-12-2025
10222,Shelf for acoustic panel with three hooks - matt black.,0,10,"2.000,00","13,65","27.300,00",30-12-2025
10232,Matt black shelf for acoustic panel 200 mm length.,0,8,"2.160,00","11,72","25.315,20",30-12-2025
11082,Brand: HOME It®,576,4,"1.152,00","7,69","8.858,88",30-12-2025
11094,Brand: HOME It®,0,4,"600,00","16,91","10.146,00",30-12-2025
16402,Brand: HOME It®,3.600,20,"3.600,00","0,58","2.088,00",30-12-2025
16408,Brand: HOME It®,6.000,20,"6.000,00","1,38","8.280,00",30-12-2025
16808,Brand: HOME It®,0,10,"2.400,00","3,34","8.016,00",30-12-2025
